,co2_ppm,PM_ppm,day
0,428.9,0.008123,0.0
1,424.0,0.007893,0.0
2,419.5,0.007939,0.0
3,415.7,0.007906,0.0
4,413.5,0.008137,0.0
5,412.2,0.007331,0.0
6,411.3,0.007045,0.0
7,410.4,0.006935,0.0
8,410.9,0.006663,0.0
9,410.9,0.00647,0.0
10,411.9,0.006612,0.0
11,413.3,0.007303,0.0
12,415.1,0.007464,0.0
13,418.4,0.007676,0.0
14,419.9,0.007874,0.0
15,423.3,0.008118,0.0
16,424.5,0.008841,0.0
17,425.8,0.009863,0.0
18,428.0,0.009721,0.0
19,430.5,0.00932,0.0
20,432.6,0.009753,0.0
21,432.9,0.010711,0.0
22,431.9,0.010453,0.0
23,430.5,0.010218,0.0
24,425.9,0.010596,1.0
25,423.6,0.011725,1.0
26,422.1,0.010695,1.0
27,418.7,0.011193,1.0
28,416.4,0.010951,1.0
29,414.4,0.009544,1.0
30,413.1,0.008766,1.0
31,412.5,0.008577,1.0
32,411.9,0.008118,1.0
33,412.3,0.008534,1.0
34,412.6,0.008297,1.0
35,413.9,0.008688,1.0
36,415.1,0.007364,1.0
37,418.7,0.00704,1.0
38,422.4,0.007499,1.0
39,424.1,0.008045,1.0
40,425.2,0.009689,1.0
41,426.7,0.009361,1.0
42,427.5,0.009264,1.0
43,429.7,0.009525,1.0
44,430.3,0.008921,1.0
45,431.3,0.009433,1.0
46,431.6,0.00953,1.0
47,428.9,0.009535,1.0
48,426.9,0.009027,2.0
49,422.7,0.008708,2.0
50,418.8,0.007891,2.0
51,415.5,0.00819,2.0
52,413.1,0.007809,2.0
53,411.9,0.00718,2.0
54,411.6,0.006397,2.0
55,411.5,0.006266,2.0
56,411.5,0.00585,2.0
57,411.8,0.005826,2.0
58,411.9,0.005947,2.0
59,413.5,0.006053,2.0
60,415.7,0.007156,2.0
61,420.0,0.008814,2.0
62,423.3,0.009008,2.0
63,426.1,0.009496,2.0
64,430.1,0.008655,2.0
65,433.0,0.008418,2.0
66,436.1,0.008292,2.0
67,435.8,0.008142,2.0
68,439.1,0.007978,2.0
69,438.4,0.007286,2.0
70,438.2,0.006948,2.0
71,436.3,0.006948,2.0
72,433.3,0.007451,3.0
73,427.0,0.007741,3.0
74,420.6,0.007644,3.0
75,418.7,0.007842,3.0
76,415.1,0.007272,3.0
77,413.6,0.00717,3.0
78,412.8,0.006711,3.0
79,412.9,0.006576,3.0
80,413.1,0.006401,3.0
81,413.8,0.006995,3.0
82,414.4,0.006769,3.0
83,415.8,0.007464,3.0
84,418.7,0.008063,3.0
85,421.8,0.008404,3.0
86,426.5,0.009357,3.0
87,426.7,0.009804,3.0
88,429.0,0.010577,3.0
89,431.1,0.010918,3.0
90,435.9,0.010867,3.0
91,435.8,0.010379,3.0
92,434.7,0.010522,3.0
93,433.1,0.011033,3.0
94,433.0,0.011148,3.0
95,435.4,0.010637,3.0
96,432.2,0.010467,4.0
97,427.3,0.009781,4.0
98,421.6,0.010002,4.0
99,417.2,0.008864,4.0
100,415.1,0.008431,4.0
101,413.8,0.0078,4.0
102,412.6,0.007239,4.0
103,412.3,0.007142,4.0
104,412.8,0.007119,4.0
105,413.1,0.007335,4.0
106,413.6,0.007206,4.0
107,414.4,0.007451,4.0
108,416.5,0.009025,4.0
109,419.8,0.01037,4.0
110,423.6,0.010167,4.0
111,425.8,0.010771,4.0
112,429.5,0.010941,4.0
113,431.0,0.010195,4.0
114,431.6,0.010448,4.0
115,433.4,0.010738,4.0
116,432.5,0.011185,4.0
117,432.1,0.010706,4.0
118,433.1,0.010513,4.0
119,430.5,0.00973,4.0
120,426.1,0.009472,5.0
121,421.3,0.009108,5.0
122,417.7,0.008652,5.0
123,415.3,0.008404,5.0
124,413.8,0.007888,5.0
125,412.9,0.007441,5.0
126,412.8,0.007368,5.0
127,412.3,0.006658,5.0
128,412.1,0.006787,5.0
129,412.5,0.007174,5.0
130,413.4,0.007538,5.0
131,414.2,0.00839,5.0
132,417.1,0.009223,5.0
133,420.9,0.010149,5.0
134,423.7,0.010089,5.0
135,426.9,0.009997,5.0
136,429.7,0.009675,5.0
137,431.9,0.009652,5.0
138,432.9,0.009555,5.0
139,434.0,0.009799,5.0
140,435.2,0.010181,5.0
141,435.5,0.010678,5.0
142,433.5,0.009762,5.0
143,429.6,0.00862,5.0
144,425.7,0.008206,6.0
145,421.8,0.007635,6.0
146,418.6,0.007726,6.0
147,415.6,0.006985,6.0
148,413.3,0.00711,6.0
149,411.6,0.007391,6.0
150,411.1,0.006843,6.0
151,410.2,0.006866,6.0
152,410.0,0.006769,6.0
153,410.4,0.007211,6.0
154,411.5,0.007451,6.0
155,412.6,0.007879,6.0
156,414.9,0.00777,6.0
157,416.9,0.009046,6.0
158,420.4,0.009762,6.0
159,424.2,0.010605,6.0
160,428.8,0.011084,6.0
161,431.3,0.011148,6.0
162,433.1,0.01066,6.0
163,436.7,0.009988,6.0
164,440.6,0.008915,6.0
165,441.3,0.00757,6.0
166,436.5,0.007865,6.0
167,435.4,0.008118,6.0
