,L0_count,M0_count
0,88.0,71.0
1,50.0,59.0
2,42.0,70.0
3,90.0,188.0
4,169.0,258.0
5,374.0,855.0
6,349.0,2162.0
7,259.0,2507.0
8,261.0,2523.0
9,262.0,2364.0
10,311.0,2320.0
11,255.0,2321.0
12,245.0,2403.0
13,258.0,2278.0
14,295.0,2426.0
15,253.0,2491.0
16,272.0,2664.0
17,270.0,2528.0
18,287.0,2239.0
19,228.0,1823.0
20,253.0,1412.0
21,160.0,1004.0
22,139.0,447.0
23,111.0,282.0
24,99.0,134.0
25,46.0,85.0
26,45.0,71.0
27,82.0,192.0
28,166.0,284.0
29,397.0,769.0
30,392.0,2150.0
31,262.0,2320.0
32,292.0,2296.0
33,299.0,2325.0
34,323.0,2166.0
35,306.0,2306.0
36,272.0,2279.0
37,279.0,2349.0
38,368.0,2450.0
39,321.0,2533.0
40,265.0,2450.0
41,227.0,2230.0
42,214.0,2357.0
43,241.0,1795.0
44,229.0,1350.0
45,189.0,1036.0
46,145.0,617.0
47,142.0,299.0
48,128.0,175.0
49,74.0,113.0
50,57.0,88.0
51,85.0,98.0
52,160.0,169.0
53,391.0,764.0
54,352.0,2110.0
55,267.0,2525.0
56,293.0,2456.0
57,342.0,2332.0
58,300.0,2292.0
59,307.0,2332.0
60,248.0,2306.0
61,278.0,2202.0
62,285.0,2298.0
63,279.0,2517.0
64,298.0,2529.0
65,248.0,2385.0
66,209.0,2184.0
67,209.0,1782.0
68,187.0,1505.0
69,165.0,904.0
70,141.0,547.0
71,109.0,277.0
72,102.0,154.0
73,55.0,101.0
74,43.0,94.0
75,88.0,105.0
76,168.0,197.0
77,393.0,782.0
78,321.0,2157.0
79,286.0,2538.0
80,293.0,2412.0
81,290.0,2456.0
82,307.0,2309.0
83,294.0,2120.0
84,284.0,2397.0
85,304.0,2395.0
86,318.0,2358.0
87,381.0,2431.0
88,377.0,2278.0
89,305.0,2133.0
90,301.0,2338.0
91,260.0,2005.0
92,248.0,1620.0
93,218.0,1190.0
94,190.0,493.0
95,165.0,208.0
96,153.0,127.0
97,81.0,66.0
98,57.0,52.0
99,80.0,48.0
100,168.0,214.0
101,363.0,804.0
102,308.0,1893.0
103,297.0,2498.0
104,307.0,2277.0
105,340.0,2444.0
106,284.0,2413.0
107,320.0,2094.0
108,314.0,2424.0
109,343.0,2496.0
110,358.0,2398.0
111,386.0,2436.0
112,396.0,2513.0
113,383.0,2384.0
114,445.0,2307.0
115,356.0,2054.0
116,379.0,1657.0
117,365.0,1154.0
118,321.0,868.0
119,292.0,785.0
120,268.0,170.0
121,136.0,91.0
122,48.0,83.0
123,53.0,57.0
124,72.0,306.0
125,135.0,470.0
126,183.0,766.0
127,226.0,1240.0
128,267.0,1675.0
129,294.0,2113.0
130,306.0,2449.0
131,341.0,2351.0
132,331.0,2483.0
133,321.0,2542.0
134,372.0,2563.0
135,422.0,2276.0
136,435.0,2414.0
137,438.0,2259.0
138,448.0,2267.0
139,438.0,1847.0
140,464.0,1311.0
141,401.0,1392.0
142,374.0,860.0
143,358.0,538.0
144,315.0,361.0
145,239.0,255.0
146,80.0,194.0
147,47.0,158.0
148,66.0,141.0
149,91.0,167.0
150,137.0,544.0
151,192.0,766.0
152,216.0,1018.0
153,246.0,1441.0
154,290.0,2063.0
155,259.0,2414.0
156,272.0,2134.0
157,284.0,2309.0
158,281.0,2233.0
159,357.0,2230.0
160,307.0,2194.0
161,284.0,2000.0
162,256.0,1931.0
163,249.0,1683.0
164,200.0,1333.0
